,location,time,students
270,583,2018-12-18 15:00:00,1
271,583,2018-12-18 15:30:00,3
272,583,2018-12-18 16:00:00,0
273,583,2018-12-18 16:30:00,2
274,583,2018-12-18 17:00:00,1
275,583,2018-12-18 17:30:00,3
276,583,2018-12-18 18:00:00,3
277,583,2018-12-18 18:30:00,0
278,583,2018-12-18 19:00:00,0
279,583,2018-12-18 19:30:00,2
280,583,2018-12-18 20:00:00,0
281,583,2018-12-18 20:30:00,1
282,583,2018-12-18 21:00:00,3
283,583,2018-12-18 21:30:00,0
284,583,2018-12-18 22:00:00,0
285,583,2018-12-18 22:30:00,0
286,583,2018-12-18 23:00:00,0
287,583,2018-12-18 23:30:00,0
288,484,2018-12-18 00:00:00,0
289,484,2018-12-18 00:30:00,0
290,484,2018-12-18 01:00:00,0
291,484,2018-12-18 01:30:00,0
292,484,2018-12-18 02:00:00,0
293,484,2018-12-18 02:30:00,0
294,484,2018-12-18 03:00:00,0
295,484,2018-12-18 03:30:00,0
296,484,2018-12-18 04:00:00,0
297,484,2018-12-18 04:30:00,0
298,484,2018-12-18 05:00:00,0
299,484,2018-12-18 05:30:00,0
300,484,2018-12-18 06:00:00,0
301,484,2018-12-18 06:30:00,0
302,484,2018-12-18 07:00:00,0
303,484,2018-12-18 07:30:00,0
304,484,2018-12-18 08:00:00,0
305,484,2018-12-18 08:30:00,2
306,484,2018-12-18 09:00:00,12
307,484,2018-12-18 09:30:00,10
308,484,2018-12-18 10:00:00,16
309,484,2018-12-18 10:30:00,16
310,484,2018-12-18 11:00:00,1
311,484,2018-12-18 11:30:00,1
312,484,2018-12-18 12:00:00,3
313,484,2018-12-18 12:30:00,2
314,484,2018-12-18 13:00:00,2
315,484,2018-12-18 13:30:00,0
316,484,2018-12-18 14:00:00,0
317,484,2018-12-18 14:30:00,0
318,484,2018-12-18 15:00:00,1
319,484,2018-12-18 15:30:00,0
320,484,2018-12-18 16:00:00,2
321,484,2018-12-18 16:30:00,0
322,484,2018-12-18 17:00:00,3
323,484,2018-12-18 17:30:00,2
324,484,2018-12-18 18:00:00,1
325,484,2018-12-18 18:30:00,1
326,484,2018-12-18 19:00:00,1
327,484,2018-12-18 19:30:00,1
328,484,2018-12-18 20:00:00,2
329,484,2018-12-18 20:30:00,0
330,484,2018-12-18 21:00:00,1
331,484,2018-12-18 21:30:00,2
332,484,2018-12-18 22:00:00,0
333,484,2018-12-18 22:30:00,0
334,484,2018-12-18 23:00:00,0
